=== Sheet: Common ===
 | Mã ibom | Mô tả | Mã sản phẩm | Nhãn hiệu | Đơn vị | Ghi chú | Làm rõ logic |  | 
 |  | Cáp CV 2.5-xanh sọc vàng | CV-2.5-XSV_1 | Cadivi | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Cáp CV 1.0 vàng | CV-1-V | Cadivi | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Cáp CV 1.0 đen | CV-1-DE | Cadivi | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Cáp Vcm 0.75 xanh | Vcm-0.75-XD | Cadivi | m |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | CABLE PROFINET | 6XV1840-2AH10 | Siemens | m |  | số lượng tùy chọn (mặc định để 0, hiển thị warning màu nổi bật, người dùng tự nhập) |  | 
 |  | Đầu nối cáp PROFINET RJ45 | VS-PN-RJ45-5-Q/IP20 - RJ45 | Phoenix contact | Cái |  | số lượng tùy chọn (mặc định để 0, hiển thị warning màu nổi bật, người dùng tự nhập) |  | 
 |  | Đầu coss chĩa bọc nhựa cho dây 2.5 | SV2-4 | MHD /TLUG | Cái |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Đầu cos chỉa trần 1.25 | SNB1.25-3 | MHD /TLUG | Cái |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Đầu cos pin rỗng dùng cho cáp 2.5 | E2510 | MHD /TLUG | Cái |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Đầu cos pin rỗng dùng cho cáp 1.0 | E1008 | MHD /TLUG | Cái |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Giá đỡ cầu nối dây điện MR 35x7,5 SLOTTED (2m) | 500604 | Klemsan | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Cable clamp rail - KR1 ( 1m ) | 510500 | Klemsan | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Máng cáp KKC 6060  60x60 WIRING DUCT | 0.0.0.5.51017 | Klemsan | m |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Máng cáp KKC 4040  40x40 WIRING DUCT | 0.0.0.5.51013 | Klemsan | m |  | số lượng tùy chọn (mặc định để 24, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Vít bắn M4x15,sắt | PRHT001 | VN | kg |  | số lượng tùy chọn (mặc định để 0.1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Dây rút 1T | PMHR001 | VN | Bịch/100 |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Dây rút 2T, bản 8mm, màu đen | PMHR002 | VN | Bịch/100 |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Băng keo điện nano | IVIU003 | NANO | Cuộn |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bu lông M4x30+long đền+ tán, sắt | MVXK014 | VN | Bộ |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bu lông M6x30+long đền+ tán, sắt | MVXK015 | VN | Bộ |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bu lông M6x40+long đền+ tán, sắt |  | VN | Bộ |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bu lông M8x30+long đền+ tán, sắt | MVXK016 | VN | Bộ |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bu lông M8x40+long đền+ tán, sắt |  | VN | Bộ |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bu lông M10x30+long đền+ tán, sắt |  | VN | Bộ |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bu lông M10x40+long đền+ tán, sắt |  | VN | Bộ |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bu lông M12x40+long đền+ tán, sắt |  | VN | Bộ |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Ruột gà xoắn Ø06 | XZRZ001 | VN | bịch |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Ruột gà xoắn Ø16 | XZRZ002 | VN | bịch |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) | Dự phòng | phụ trợ (CB nguồn, profinet)
 |  | Băng nhãn dán 9mm (Màu vàng) | LM-TP309Y | MAX | cuộn | 8m/cuộn | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Mực in số ( Màu đen) | LM-IR300B | MAX | cuộn | 50m/cuộn | số lượng tùy chọn (mặc định để 2, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Ống in số 3.2mm ( Màu trắng) | LM-TU332N | VN | cuộn | 100m/Cuộn | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Đá cắt 1 Tấc | KKNA001 | Norton | Viên |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Đá mài 1 Tấc | KKNA002 | Norton | Viên |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Đá cắt 3 Tấc | KKNA003 | Norton | Viên |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Băng keo trong-5cm | FVQM001 | VN | cuộn |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Viết xóa màu trắng | QVAN011 | VN | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Băng keo giấy-2cm | IVIU002 | VN | Cuộn |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Domino nhựa mềm 10A màu trắng | XVBQ001 | VN | Thanh |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Viết lông dầu dầu kim | QVAN010 | VN | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Ty ren bằng sắt M6 | QVAN009 | VN | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bát chặn domino bằng sắt | BIZ-07 | Hangyoung | Cái |  | số lượng tùy chọn (mặc định để 20, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bút chì 2b | DNQF013 | VN | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Mũi taro M4 | DNQF007 | Nachi | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Mũi taro M6 |  | Nachi | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Mũi khoan sắt M6 | DNQF008 | Nachi | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Mũi khoan sắt M8 | DNQF009 | Nachi | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Mũi khoan sắt M10 |  | Nachi | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bình gas mini | NKYH001 | VN | Bình |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | PE quấn tủ điện |  | VN | Cuộn |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Ổ cắm điện chuyên dùng để gắn trong tủ điện | 0.0.0.6.70400 | Klemsan | Cái |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Bộ nguồn 24VDC, 10A,240W | S8VK-C24024 | Omron | bộ |  | Chỉ chọn 1 trong các option này--->số lượng tùy chọn (mặc định để 1) |  | 
 |  | Bộ nguồn 24VDC, 5A, 120W | S8VK-C12024 | Omron | bộ |  |  |  | 
 |  | Phích cắm (đầu cái) |  | MPE | Cái |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Biến thế cách ly 500VA  380-400/0-200-220V |  | Chin-i | cái |  | Chỉ chọn 1 trong các option này--->số lượng tùy chọn (mặc định để 1) |  | 
 |  | Biến thế cách ly 1000VA 380-400/0-200-220V0V | BT-380/220-1000VA | Chin-i | cái |  |  |  | 
 |  | Biến thế cách ly 2000VA 380/220V |  | Chin-i | cái |  |  |  | 
 |  | Thanh lược 2P 63A | QVAN007 | Asia | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Thanh lược 3P 63A | QVAN008 | Asia | Cây |  | số lượng tùy chọn (mặc định để 1, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Mica trong 5ly Đài Loan | W720xH280 | Asia | bộ |  | số lượng tùy chọn (mặc định để 0, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Nút nhấn xanh lá | YW1B-M1E11G | Idec |  |  | số lượng tùy chọn (mặc định để 0, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Công tơ điện tử 3 pha, gián tiếp 5A, 3 biểu giá (có kiểm định) | ME-41MG | Emic | bộ |  | số lượng tùy chọn (mặc định để 0, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 
 |  | Biến dòng đo lường công tơ điện tử 3 pha (có kiểm định) |  | Emic | bộ |  | số lượng tùy chọn (mặc định để 0, tôi sẽ edit lại số này-->cần có phương thức edit mặc định) |  | 

=== Sheet: Busbar ===
 | CB | 3P | N | PE
 | 100A | 20x5 | 20x5 | 20x5
 | 150A | 20x8 | 20x5 | 20x5
 | 200A | 20x8 | 20x5 | 20x5
 | 250A | 20x8 | 20x8 | 20x5
 | 300A | 30x10 | 20x8 | 20x8
 | 350A | 30x10 | 25x8 | 25x8
 | 400A | 40x8 | 30x8 | 30x8
 | 450A | 40x8 | 30x8 | 30x8
 | 500A | 40x8 | 30x8 | 30x8
 | 630A | 40x10 | 30x10 | 30x10
 | 800A | 50x10 | 40x10 | 40x10
 | 1000A | 50x10x2 | 50x10 | 50x10
 | 1250A | 50x10x2 | 50x10 | 50x10
 | 1600A | 50x10x2 | 50x10 | 50x10

